als;fr;de;en;cat;gen;pluriel;petit;compar;present_1_personne;present_2_personne;present_3_personne;present_pluriel;part_passe;aux;cond_pres_1_personne;cond_pres_2_personne;cond_pres_3_personne;cond_pres_pluriel
ahnlig;semblable;ähnlich;similar;adj;;;;;;;;;;;;;;
allei;seul;allein;alone;adj;;;;;;;;;;;;;;
ang;étroit;eng;narrow;adj;;;;anger;;;;;;;;;;
arnscht;sérieux;ernst;serious;adj;;;;;;;;;;;;;;
automàtisch;automatique;automatisch;automatic;adj;;;;;;;;;;;;;;
bees;méchant;böse;evil;adj;;;;beeser;;;;;;;;;;
bekànnt;connu;bekannt;known;adj;;;;bekànnter;;;;;;;;;;
bequam;confortable;bequem;comfortable;adj;;;;bequamer;;;;;;;;;;
beriahmt;célèbre;berühmt;famous;adj;;;;beriahmter;;;;;;;;;;
bleed;stupide;blöd;stupid;adj;;;;bleeder;;;;;;;;;;
blund;blond;blond;blond;adj;;;;;;;;;;;;;;
blutt;nu;nackt;naked;adj;;;;;;;;;;;;;;
blàui;bleu;blau;blue;adj;;;;blèier;;;;;;;;;;
blìnd;aveugle;blind;blind;adj;;;;blìnder;;;;;;;;;;
breit;large;breit;wide;adj;;;;breiter;;;;;;;;;;
brüün;brun;braun;brown;adj;;;;briiner;;;;;;;;;;
bsunder;spécial;besonders;special;adj;;;;;;;;;;;;;;
bàrmharzig;miséricordieux;barmherzig;merciful;adj;;;;;;;;;;;;;;
bèèsch;beige;beige;beige;adj;;;;;;;;;;;;;;
bìllig;bon marché;billig;cheap;adj;;;;bìlliger;;;;;;;;;;
bìtter;amer;bitter;bitter;adj;;;;bìtterer;;;;;;;;;;
càpàwel;capable;fähig;able;adj;;;;;;;;;;;;;;
demokràtisch;démocratique;demokratisch;democratic;adj;;;;;;;;;;;;;;
diplomàtisch;diplomatique;diplomatisch;diplomatic;adj;;;;;;;;;;;;;;
direkt;direct;direkt;direct;adj;;;;;;;;;;;;;;
ditsch;allemand;deutsch;German;adj;;;;;;;;;;;;;;
drackig;sale;schmutzig;dirty;adj;;;;drackiger;;;;;;;;;;
drittzehnt;treizième;dreizehnter;thirteenth;adj;;;;;;;;;;;;;;
drìngend;urgent;dringend;urgent;adj;;;;;;;;;;;;;;
drìtt;troisième;dritter;third;adj;;;;;;;;;;;;;;
dumm;bête;dumm;stupid;adj;;;;dìmmer;;;;;;;;;;
dunkel;foncé;dunkel;dark;adj;;;;dìnkler;;;;;;;;;;
dunkelblàui;bleu foncé;dunkelblau;darkblue;adj;;;;;;;;;;;;;;
dunkelbrüün;brun foncé;dunkelbraun;darkbrown;adj;;;;;;;;;;;;;;
dursìchtig;transparent;durchsichtig;transparent;adj;;;;er;;;;;;;;;;
dìck;gros;dick;fat;adj;;;;dìcker;;;;;;;;;;
dìck;épais;dick;thick;adj;;;;dìcker;;;;;;;;;;
dìnn;fin;dünn;thin;adj;;;;dìnner;;;;;;;;;;
ehmàlig;ancien;ehemaliger;former;adj;;;;;;;;;;;;;;
ehrlig;honnête;ehrlich;honest;adj;;;;;;;;;;;;;;
eifàch;simple;einfach;easy;adj;;;;eifàcher;;;;;;;;;;
eisàm;seul;einsam;lonely;adj;;;;;;;;;;;;;;
elft;onzième;elfter;eleventh;adj;;;;;;;;;;;;;;
erlàuibt;autorisé;erlaubt;allowed;adj;;;;;;;;;;;;;;
erscht;premier;erster;first;adj;;;;;;;;;;;;;;
erwàchsa;adulte;erwachsen;adult;adj;;;;;;;;;;;;;;
ethnisch;ethnique;ethnisch;ethnic;adj;;;;;;;;;;;;;;
europäisch;européen;europäisch;European;adj;;;;;;;;;;;;;;
extrem;extrême;extreme;extreme;adj;;;;;;;;;;;;;;
extrà;extra;extra;extra;adj;;;;;;;;;;;;;;
fescht;ferme;fest;firm;adj;;;;feschter;;;;;;;;;;
fiin;fin;fein;fine;adj;;;;fiiner;;;;;;;;;;
finànziell;financier;finanziell;financial;adj;;;;;;;;;;;;;;
flàch;plat;flach;flat;adj;;;;flächer;;;;;;;;;;
fruchtbàr;fertile;fruchtbar;fertile;adj;;;;;;;;;;;;;;
frànzeesch;français;französisch;french;adj;;;;;;;;;;;;;;
frèi;libre;frei;free;adj;;;;frèier;;;;;;;;;;
frèiwìllig;bénévole;freiwillig;volunteer;adj;;;;;;;;;;;;;;
frìndlig;amical;freundlich;friendly;adj;;;;frìndliger;;;;;;;;;;
frìsch;frais;frisch;fresh;adj;;;;frìscher;;;;;;;;;;
fufzehnt;qunzième;fünfzehnter;fifteenth;adj;;;;;;;;;;;;;;
fàlsch;faux;falsch;false;adj;;;;;;;;;;;;;;
fàrwig;coloré;bunt;coloured;adj;;;;;;;;;;;;;;
fìmft;cinquième;fünfter;fifth;adj;;;;;;;;;;;;;;
füül;paresseux;faul;lazy;adj;;;;füüler;;;;;;;;;;
gaal;jaune;gelb;yellow;adj;;;;gaaler;;;;;;;;;;
gemäßigt;modéré;gemäßigt;moderate;adj;;;;;;;;;;;;;;
geologisch;géologique;geologisch;geologic;adj;;;;;;;;;;;;;;
gfahrlig;dangereux;gefährlich;dangerous;adj;;;;gfahrliger;;;;;;;;;;
ghirota;marié;verheiratet;married;adj;;;;;;;;;;;;;;
glàtt;lisse;glatt;smooth;adj;;;;glätter;;;;;;;;;;
gmeinsàm;commun;gemeinsam;common;adj;;;;;;;;;;;;;;
gnàui;exactement;genau;exactly;adj;;;;gnàuier;;;;;;;;;;
grian;vert;grün;green;adj;;;;grianer;;;;;;;;;;
grobb;grossier;grob;rude;adj;;;;grìwwer;;;;;;;;;;
groß;grand;groß;big;adj;;;;greeßer;;;;;;;;;;
gràd;droit;gerade;straight;adj;;;;gräder;;;;;;;;;;
gràui;gris;grau;grey;adj;;;;gräier;;;;;;;;;;
grìschta;prêt;bereit;ready;adj;;;;;;;;;;;;;;
grüüsig;horrible;grausam;horrible;adj;;;;;;;;;;;;;;
gsagent;béni;gesegnet;blessed;adj;;;;;;;;;;;;;;
gschèit;intelligent;klug;clever;adj;;;;gschèiter;;;;;;;;;;
gsetzlig;juridique;gesetzlich;legal;adj;;;;;;;;;;;;;;
gspànna;tendu;gespannt;tense;adj;;;;;;;;;;;;;;
gsund;sain;gesund;sane;adj;;;;gsìnder;;;;;;;;;;
guldig;doré;golden;golden;adj;;;;;;;;;;;;;;
gànz;entier;ganz;whole;adj;;;;;;;;;;;;;;
gìftig;toxique;giftig;poisonous;adj;;;;gìftiger;;;;;;;;;;
güet;bon;gut;good;adj;;;;besser;;;;;;;;;;
heftig;intense;heftig;intense;adj;;;;heftiger;;;;;;;;;;
heiter;clair;hell;light;adj;;;;heiterer;;;;;;;;;;
heiterblàui;bleu clair;hellblau;lightblue;adj;;;;;;;;;;;;;;
heiterbrüün;brun clair;hellbraun;lightbrown;adj;;;;;;;;;;;;;;
heiß;très chaud;heiß;hot;adj;;;;heißer;;;;;;;;;;
hoch;haut;hoch;high;adj;;;;heecher;;;;;;;;;;
hungrig;affamé;hungrig;hungry;adj;;;;;;;;;;;;;;
härt;dur;hart;hard;adj;;;;härter;;;;;;;;;;
jung;jeune;jung;young;adj;;;;jìnger;;;;;;;;;;
kiahl;tiède;kühl;cool;adj;;;;kiahler;;;;;;;;;;
kinesisch;chinois;chinesisch;Chinese;adj;;;;;;;;;;;;;;
klawrig;gluant;klebrig;sticky;adj;;;;;;;;;;;;;;
klei;petit;klein;little;adj;;;;kleiner;;;;;;;;;;
klàr;clair;klar;clear;adj;;;;klàrer;;;;;;;;;;
komisch;étrange;komisch;strange;adj;;;;reiner;;;;;;;;;;
korrekt;correct;korrekt;correct;adj;;;;;;;;;;;;;;
krumlig;friable;krümelig;crumbly;adj;;;;krumliger;;;;;;;;;;
krumm;tordu;krumm;crooked;adj;;;;krìmmer;;;;;;;;;;
krànk;malade;krank;ill;adj;;;;kränker;;;;;;;;;;
kurz;court;kurz;short;adj;;;;kìrzer;;;;;;;;;;
kàlt;froid;kalt;cold;adj;;;;kälter;;;;;;;;;;
kàpütt;cassé;kaputt;broken;adj;;;;;;;;;;;;;;
kìtzlig;chatouilleux;kitzlig;ticklish;adj;;;;;;;;;;;;;;
kùmpliziart;compliqué;kompliziert;complicated;adj;;;;;;;;;;;;;;
kültürell;culturel;kulturell;cultural;adj;;;;;;;;;;;;;;
laar;vide;leer;empty;adj;;;;;;;;;;;;;;
landlig;rural;ländlich;rural;adj;;;;;;;;;;;;;;
latz;faux;falsch;false;adj;;;;latzer;;;;;;;;;;
letscht;dernier;letzte;last;adj;;;;;;;;;;;;;;
lokàl;local;lokal;local;adj;;;;;;;;;;;;;;
luck;détendu;locker;loose;adj;;;;lìcker;;;;;;;;;;
luschtig;gai;lustig;funny;adj;;;;luschtiger;;;;;;;;;;
